edge_prob,gsgmorph,hua,qubo_equal
0,10.30596366,15.19275031,TRUE
5,12.31968089,17.37039813,TRUE
10,12.3844014,16.42261374,TRUE
15,12.62364865,16.43048403,TRUE
20,14.23024797,18.4589372,TRUE
25,14.19561489,17.65712462,TRUE
30,14.3999922,17.7070704,TRUE
35,15.99344125,19.6369257,TRUE
40,15.83129981,18.72607534,TRUE
45,16.14714976,18.77828981,TRUE
50,17.63920375,21.11490952,TRUE
55,17.16005405,19.7814297,TRUE
60,17.21394422,19.69637599,TRUE
65,18.62368681,22.27816512,TRUE
70,18.27996927,20.91850063,TRUE
75,18.13520707,21.02304078,TRUE
80,19.32199841,23.48002499,TRUE
85,18.8986836,21.90556562,TRUE
90,18.57442849,21.85850381,TRUE
95,19.39814224,24.69788849,TRUE
100,18.92235779,23.1107895,TRUE
